"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1","10 Cloverfield Lane",1.5e+07,"Paramount Pictures","USA","Dan Trachtenberg","Drama","71897215.0","PG-13","2016-03-11",104,"7.2","John Goodman","208655","Josh Campbell",2016,440
"2","10 Things I Hate About You",3e+07,"Touchstone Pictures","USA","Gil Junger","Comedy","38176108.0","PG-13","1999-03-31",97,"7.2","Heath Ledger","244103","Karen McCullah",1999,549
"3","102 Dalmatians",8.5e+07,"Cruella Productions","USA","Kevin Lima","Adventure","66957026.0","G","2000-11-22",100,"4.8","Glenn Close","28524","Dodie Smith",2000,77
"4","12 Rounds",2.2e+07,"Fox Atomic","USA","Renny Harlin","Action","12232937.0","PG-13","2009-03-27",108,"5.6","John Cena","24250","Daniel Kunka",2009,113
"5","12 Years a Slave",2e+07,"Regency Enterprises","USA","Steve McQueen","Biography","56671993.0","R","2013-11-08",134,"8.1","Chiwetel Ejiofor","503763","John Ridley",2013,695
"6","13 Going on 30",3.7e+07,"Revolution Studios","USA","Gary Winick","Comedy","57231747.0","PG-13","2004-04-23",98,"6.1","Jennifer Garner","132486","Josh Goldsmith",2004,339
"7","13 Hours",5e+07,"Paramount Pictures","Malta","Michael Bay","Action","52853219.0","R","2016-01-15",144,"7.3","John Krasinski","82656","Chuck Hogan",2016,219
"8","1408",2.5e+07,"Dimension Films","USA","Mikael Håfström","Horror","71985628.0","PG-13","2007-06-22",104,"6.8","John Cusack","226504","Matt Greenberg",2007,580
"9","15 Minutes",6e+07,"New Line Cinema","USA","John Herzfeld","Action","24403552.0","R","2001-03-09",120,"6.1","Robert De Niro","44327","John Herzfeld",2001,265
"10","16 Blocks",5.2e+07,"Alcon Entertainment","USA","Richard Donner","Action","36883539.0","PG-13","2006-03-03",102,"6.6","Bruce Willis","116840","Richard Wenk",2006,305
"11","17 Again",2e+07,"New Line Cinema","USA","Burr Steers","Comedy","64167069.0","PG-13","2009-04-17",102,"6.4","Zac Efron","155399","Jason Filardi",2009,185
"12","2 Fast 2 Furious",7.6e+07,"Universal Pictures","USA","John Singleton","Action","127154901.0","PG-13","2003-06-06",107,"5.9","Paul Walker","211309","Gary Scott Thompson",2003,370
"13","2 Guns",6.1e+07,"Universal Pictures","USA","Baltasar Kormákur","Action","75612460.0","R","2013-08-02",109,"6.7","Denzel Washington","168840","Blake Masters",2013,172
"14","200 Cigarettes",6e+06,"Dogstar Films","USA","Risa Bramon Garcia","Comedy","6851636.0","R","1999-02-26",101,"5.9","Ben Affleck","13466","Shana Larsen",1999,182
"15","2012",2e+08,"Columbia Pictures","USA","Roland Emmerich","Action","166112167.0","PG-13","2009-11-13",158,"5.8","John Cusack","303766","Roland Emmerich",2009,1055
"16","2046",1.2e+07,"Jet Tone Films","Hong Kong","Kar-Wai Wong","Drama","261481.0","R","2004-09-29",129,"7.5","Tony Chiu-Wai Leung","44039","Kar-Wai Wong",2004,210
"17","21",3.5e+07,"Columbia Pictures","USA","Robert Luketic","Crime","81159365.0","PG-13","2008-03-28",123,"6.8","Jim Sturgess","201705","Peter Steinfeld",2008,278
"18","21 & Over",1.3e+07,"Relativity Media","USA","Jon Lucas","Comedy","25682380.0","R","2013-03-01",93,"5.9","Miles Teller","64737","Jon Lucas",2013,84
"19","21 Grams",2e+07,"This Is That Productions","USA","Alejandro González Iñárritu","Crime","16248701.0","R","2004-01-16",124,"7.7","Sean Penn","200427","Guillermo Arriaga",2003,559
"20","21 Jump Street",4.2e+07,"Columbia Pictures","USA","Phil Lord","Action","138447667.0","R","2012-03-16",110,"7.2","Jonah Hill","441919","Michael Bacall",2012,345
"21","22 Jump Street",5e+07,"Columbia Pictures","USA","Phil Lord","Action","191719337.0","R","2014-06-13",112,"7.1","Channing Tatum","288814","Michael Bacall",2014,322
"22","25th Hour",5e+06,"25th Hour Productions","USA","Spike Lee","Drama","13060843.0","R","2003-01-10",135,"7.7","Edward Norton","156154","David Benioff",2002,454
"23","27 Dresses",3e+07,"Fox 2000 Pictures","USA","Anne Fletcher","Comedy","76808654.0","PG-13","2008-01-18",111,"6.1","Katherine Heigl","133431","Aline Brosh McKenna",2008,154
"24","28 Days",4.3e+07,"Columbia Pictures Corporation","USA","Betty Thomas","Comedy","37170488.0","PG-13","2000-04-14",103,"6.0","Sandra Bullock","37015","Susannah Grant",2000,194
"25","28 Days Later...",8e+06,"DNA Films","UK","Danny Boyle","Drama","45064915.0","R","2003-06-27",113,"7.6","Cillian Murphy","320108","Alex Garland",2002,1441
"26","28 Weeks Later",1.5e+07,"Fox Atomic","UK","Juan Carlos Fresnadillo","Drama","28638916.0","R","2007-05-11",100,"7.0","Jeremy Renner","225731","Rowan Joffe",2007,713
"27","3 Days to Kill",2.8e+07,"EuropaCorp","USA","McG","Action","30697999.0","PG-13","2014-02-21",117,"6.2","Kevin Costner","75138","Adi Hasak",2014,211
"28","3 Men and a Baby",1.1e+07,"Interscope Communications","USA","Leonard Nimoy","Comedy","167780960.0","PG","1987-11-25",102,"5.9","Tom Selleck","39544","Coline Serreau",1987,42
"29","3 Ninjas Kick Back",2e+07,"Ben-Ami/Leeds Productions","USA","Charles T. Kanganis","Family","11784000.0","PG","1994-05-06",93,"4.4","Victor Wong","7189","Sang-ok Shin",1994,26
"30","3:10 to Yuma",5.5e+07,"Lionsgate","USA","James Mangold","Adventure","53606916.0","R","2007-09-07",122,"7.7","Russell Crowe","252471","Halsted Welles",2007,560
"31","30 Days of Night",3.2e+07,"Columbia Pictures","USA","David Slade","Horror","39568996.0","R","2007-10-19",113,"6.6","Josh Hartnett","146606","Steve Niles",2007,527
"32","300",6.5e+07,"Warner Bros.","USA","Zack Snyder","Action","210614939.0","R","2007-03-09",117,"7.7","Gerard Butler","648211","Zack Snyder",2006,2073
"33","300: Rise of an Empire",1.1e+08,"Warner Bros.","USA","Noam Murro","Action","106580051.0","R","2014-03-07",102,"6.2","Sullivan Stapleton","242932","Zack Snyder",2014,523
"34","3000 Miles to Graceland",6.2e+07,"Franchise Pictures","USA","Demian Lichtenstein","Action","15738632.0","R","2001-02-23",125,"5.9","Kurt Russell","39439","Richard Recco",2001,399
"35","40 Days and 40 Nights",1.7e+07,"Miramax","USA","Michael Lehmann","Comedy","37950822.0","R","2002-03-01",96,"5.6","Josh Hartnett","64465","Rob Perez",2002,207
"36","42",4e+07,"Warner Bros.","USA","Brian Helgeland","Biography","95001343.0","PG-13","2013-04-12",128,"7.5","Chadwick Boseman","71006","Brian Helgeland",2013,200
"37","47 Ronin",1.75e+08,"H2F Entertainment","USA","Carl Rinsch","Action","38362475.0","PG-13","2013-12-25",119,"6.3","Keanu Reeves","125778","Chris Morgan",2013,324
"38","50 First Dates",7.5e+07,"Columbia Pictures Corporation","USA","Peter Segal","Comedy","120908074.0","PG-13","2004-02-13",99,"6.8","Adam Sandler","283647","George Wing",2004,456
"39","50/50",8e+06,"Summit Entertainment","USA","Jonathan Levine","Comedy","35014192.0","R","2011-09-30",100,"7.7","Joseph Gordon-Levitt","285675","Will Reiser",2011,378
"40","500 Days of Summer",7500000,"Fox Searchlight Pictures","USA","Marc Webb","Comedy","32391374.0","PG-13","2009-08-07",95,"7.7","Zooey Deschanel","407875","Scott Neustadter",2009,494
"41","54",1.3e+07,"Dollface","USA","Mark Christopher","Drama","16574731.0","R","1998-08-28",93,"5.8","Ryan Phillippe","28791","Mark Christopher",1998,181
"42","8 Heads in a Duffel Bag",3e+06,"Orion Pictures","USA","Tom Schulman","Comedy","3559990.0","R","1997-04-18",95,"5.3","Joe Pesci","8398","Tom Schulman",1997,49
"43","8 Mile",4.1e+07,"Imagine Entertainment","USA","Curtis Hanson","Drama","116724075.0","R","2002-11-08",110,"7.0","Eminem","204990","Scott Silver",2002,564
"44","88 Minutes",3e+07,"Millennium Films","USA","Jon Avnet","Crime","16930884.0","R","2008-04-18",108,"5.9","Al Pacino","68510","Gary Scott Thompson",2007,262
"45","8MM",4e+07,"Columbia Pictures Corporation","Germany","Joel Schumacher","Mystery","36663315.0","R","1999-02-26",123,"6.5","Nicolas Cage","109400","Andrew Kevin Walker",1999,587
